FASB157,Net Asset Value,Price Confirm,Asset Liability,Portfolio,Portfolio Name,Value Date,Investment Currency, Quantity , Account Type , Finance Account , FX Rate , Market Price , Book Market Price ,Price Date,Price Source,PM Price Source, Unit Cost , Local Cost , Book Cost Not , Local Mkt Value , Book Mkt Value , Local Cost Not , Book Curr Not , Local Curr Not , Book Unit Cost , Book Accrued Interest , Local Accrued Interest ,Strategy,Custodian Code,Custodian Account,Legal Entity,Investment,Security Description,Base Currency,IG NonIG,Custodian Name,Report Group Name,Source,Last Updated By,Last Updated Date,Top Level SecType,Mid Level SecType,Third Level SecType,FASB157
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 3,12/31/2017,USD       ,"3,715.00",, N.A. ,1,108.25,108.25,12/29/2017,Bloomberg,,,,173200,173200,173200,173200,,, -   , -   , -   ,,MORGAN STANLEY,,,Position 1732,Position 1732,USD,Indeterminate,Morgan Stanley,,,,43109.34653,OTC Derivative Contracts,Total Return Swap,TR Swap - Equity Index,Level 2
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 3,12/31/2017,USD       ,"22,550.00",, N.A. ,1,"3,495.00",31.02,12/29/2017,Bloomberg,,,,173300,173300,173300,173300,,, -   , -   , -   ,,MORGAN STANLEY,,,Position 1733,Position 1733,USD,Indeterminate,Morgan Stanley,,,,43109.33611,OTC Derivative Contracts,Total Return Swap,TR Swap - Single Name Equity,Level 2
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 3,12/31/2017,USD       ,"30,381.00",, N.A. ,1,17.26,17.26,12/29/2017,Bloomberg,,,,173400,173400,173400,173400,,, -   , -   , -   ,,CITIGROUP,,,Position 1734,Position 1734,USD,Indeterminate,CitiGroup,,,,43109.33611,OTC Derivative Contracts,Total Return Swap,TR Swap - Single Name Equity,Level 2
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 3,12/31/2017,USD       ,"3,240.00",, N.A. ,1,17.26,17.26,12/29/2017,Bloomberg,,,,173500,173500,173500,173500,,, -   , -   , -   ,,CREDIT SUISSE,,,Position 1735,Position 1735,USD,Indeterminate,Credit Suisse,,,,43109.33611,OTC Derivative Contracts,Total Return Swap,TR Swap - Single Name Equity,Level 2
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 3,12/31/2017,USD       ,219.00,, N.A. ,1,30.49,30.49,12/29/2017,Bloomberg,,,,173600,173600,173600,173600,,, -   , -   , -   ,,CITIGROUP,,,Position 1736,Position 1736,USD,Indeterminate,CitiGroup,,,,43109.33611,OTC Derivative Contracts,Total Return Swap,TR Swap - Single Name Equity,Level 2
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 3,12/31/2017,USD       ,"4,568.00",, N.A. ,1,7.7,7.7,12/29/2017,Bloomberg,,,,173700,173700,173700,173700,,, -   , -   , -   ,,CITIGROUP,,,Position 1737,Position 1737,USD,Indeterminate,CitiGroup,,,,43109.33611,OTC Derivative Contracts,Total Return Swap,TR Swap - Single Name Equity,Level 2
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 3,12/31/2017,USD       ,"3,782.00",, N.A. ,1,30.49,30.49,12/29/2017,Bloomberg,,,,173800,173800,173800,173800,,, -   , -   , -   ,,MORGAN STANLEY,,,Position 1738,Position 1738,USD,Indeterminate,Morgan Stanley,,,,43109.33611,OTC Derivative Contracts,Total Return Swap,TR Swap - Single Name Equity,Level 2
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 3,12/31/2017,USD       ,"25,723.00",, N.A. ,1,17.26,17.26,12/29/2017,Bloomberg,,,,173900,173900,173900,173900,,, -   , -   , -   ,,MORGAN STANLEY,,,Position 1739,Position 1739,USD,Indeterminate,Morgan Stanley,,,,43109.33611,OTC Derivative Contracts,Total Return Swap,TR Swap - Single Name Equity,Level 2
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 3,12/31/2017,USD       ,266.00,, N.A. ,1,"1,303.05","1,303.05",12/29/2017,Bloomberg,,,,174000,174000,174000,174000,,,"1,259.01", -   , -   ,,BRINKS,,,Position 1740,Position 1740,USD,Indeterminate,Brinks,,,,43109.33681,Corporate Equity,Common Stock,US Common Stock,Level 2
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"2,329.00",, N.A. ,1,0.79,0.79,12/29/2017,Bloomberg,,,,174100,174100,174100,174100,,,0.79, -   , -   ,,OTHER,,,Position 1741,Position 1741,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"11,857.00",, N.A. ,1, -   , -   ,12/29/2017,Bloomberg,,,,174200,174200,174200,174200,,,0.54, -   , -   ,,OTHER,,,Position 1742,Position 1742,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"6,214.00",, N.A. ,1,0.54,0.54,12/29/2017,Bloomberg,,,,174300,174300,174300,174300,,,0.8, -   , -   ,,OTHER,,,Position 1743,Position 1743,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"1,214.00",, N.A. ,1,0.43,0.43,12/29/2017,Bloomberg,,,,174400,174400,174400,174400,,,1, -   , -   ,,OTHER,,,Position 1744,Position 1744,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"10,306.00",, N.A. ,1,0.67,0.67,12/29/2017,Bloomberg,,,,174500,174500,174500,174500,,,0.48, -   , -   ,,OTHER,,,Position 1745,Position 1745,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,2,, N.A. ,1,"2,236.64","2,236.64",12/29/2017,Bloomberg,,,,174600,174600,174600,174600,,,"2,091.27", -   , -   ,,OTHER,,,Position 1746,Position 1746,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,800.00,, N.A. ,1,0.24,0.24,12/29/2017,Bloomberg,,,,174700,174700,174700,174700,,, -   , -   , -   ,,OTHER,,,Position 1747,Position 1747,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"3,870.00",, N.A. ,1,0.21,0.21,12/29/2017,Bloomberg,,,,174800,174800,174800,174800,,, -   , -   , -   ,,OTHER,,,Position 1748,Position 1748,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"2,635.00",, N.A. ,1,1,1,12/29/2017,Bloomberg,,,,174900,174900,174900,174900,,,1, -   , -   ,,OTHER,,,Position 1749,Position 1749,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"1,437.00",, N.A. ,1,0.84,0.84,12/29/2017,Bloomberg,,,,175000,175000,175000,175000,,,0.64, -   , -   ,,OTHER,,,Position 1750,Position 1750,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,62.00,, N.A. ,1,200,200,12/29/2017,Bloomberg,,,,175100,175100,175100,175100,,,200, -   , -   ,,OTHER,,,Position 1751,Position 1751,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,658.00,, N.A. ,1,1.38,1.38,12/29/2017,Bloomberg,,,,175200,175200,175200,175200,,,1.4, -   , -   ,,OTHER,,,Position 1752,Position 1752,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"3,413.00",, N.A. ,1,4.28,4.28,12/29/2017,Bloomberg,,,,175300,175300,175300,175300,,,8.96, -   , -   ,,OTHER,,,Position 1753,Position 1753,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,152.00,, N.A. ,1,7.23,7.23,12/29/2017,Bloomberg,,,,175400,175400,175400,175400,,,7.32, -   , -   ,,OTHER,,,Position 1754,Position 1754,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"5,230.00",, N.A. ,1,0.59,0.59,12/29/2017,Bloomberg,,,,175500,175500,175500,175500,,,0.59, -   , -   ,,OTHER,,,Position 1755,Position 1755,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"3,833.00",, N.A. ,1,0.18,0.18,12/29/2017,Bloomberg,,,,175600,175600,175600,175600,,,0.75, -   , -   ,,OTHER,,,Position 1756,Position 1756,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Confirmed By Admin,,Fund 3,12/31/2017,USD       ,"6,000.00",, N.A. ,1, -   , -   ,12/29/2017,Bloomberg,,,,175700,175700,175700,175700,,,1, -   , -   ,,MORGAN STANLEY,,,Position 1757,Position 1757,USD,Indeterminate,Morgan Stanley,,,,43109.33264,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"2,734.00",, N.A. ,1,4.18,4.18,12/29/2017,Bloomberg,,,,175800,175800,175800,175800,,,2.19, -   , -   ,,MORGAN STANLEY,,,Position 1758,Position 1758,USD,Indeterminate,Morgan Stanley,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"13,609.00",, N.A. ,1,4.5,4.5,12/29/2017,Bloomberg,,,,175900,175900,175900,175900,,,4.89, -   , -   ,,OTHER,,,Position 1759,Position 1759,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,735.00,, N.A. ,1,0.74,0.74,12/29/2017,Bloomberg,,,,176000,176000,176000,176000,,,0.66, -   , -   ,,OTHER,,,Position 1760,Position 1760,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"21,366.00",, N.A. ,1,3.71,3.71,12/29/2017,Bloomberg,,,,176100,176100,176100,176100,,,2.83, -   , -   ,,OTHER,,,Position 1761,Position 1761,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"36,312.00",, N.A. ,1,0.95,0.95,12/29/2017,Bloomberg,,,,176200,176200,176200,176200,,,1, -   , -   ,,OTHER,,,Position 1762,Position 1762,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"1,031.00",, N.A. ,1,16.59,16.59,12/29/2017,Bloomberg,,,,176300,176300,176300,176300,,,11.77, -   , -   ,,OTHER,,,Position 1763,Position 1763,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"19,848.00",, N.A. ,1,0.16,0.16,12/29/2017,Bloomberg,,,,176400,176400,176400,176400,,,0.16, -   , -   ,,OTHER,,,Position 1764,Position 1764,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"2,420.00",, N.A. ,1,0.71,0.71,12/29/2017,Bloomberg,,,,176500,176500,176500,176500,,,0.5, -   , -   ,,OTHER,,,Position 1765,Position 1765,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"2,906.00",, N.A. ,1,10.18,10.18,12/29/2017,Bloomberg,,,,176600,176600,176600,176600,,,10.43, -   , -   ,,OTHER,,,Position 1766,Position 1766,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,741.00,, N.A. ,1,7.26,7.26,12/29/2017,Bloomberg,,,,176700,176700,176700,176700,,,7.37, -   , -   ,,OTHER,,,Position 1767,Position 1767,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"17,517.00",, N.A. ,1,0.69,0.69,12/29/2017,Bloomberg,,,,176800,176800,176800,176800,,,0.65, -   , -   ,,OTHER,,,Position 1768,Position 1768,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,301.00,, N.A. ,1,1.37,1.37,12/29/2017,Bloomberg,,,,176900,176900,176900,176900,,,1.37, -   , -   ,,OTHER,,,Position 1769,Position 1769,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"2,689.00",, N.A. ,1,8.69,8.69,12/29/2017,Bloomberg,,,,177000,177000,177000,177000,,,9.18, -   , -   ,,OTHER,,,Position 1770,Position 1770,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"8,308.00",, N.A. ,1,4.18,4.18,12/29/2017,Bloomberg,,,,177100,177100,177100,177100,,,4.03, -   , -   ,,MORGAN STANLEY,,,Position 1771,Position 1771,USD,Indeterminate,Morgan Stanley,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"1,778.00",, N.A. ,1,0.77,0.77,12/29/2017,Bloomberg,,,,177200,177200,177200,177200,,,0.76, -   , -   ,,OTHER,,,Position 1772,Position 1772,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"3,674.00",, N.A. ,1,0.51,0.51,12/29/2017,Bloomberg,,,,177300,177300,177300,177300,,,0.5, -   , -   ,,OTHER,,,Position 1773,Position 1773,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"2,210.00",, N.A. ,1,0.94,0.94,12/29/2017,Bloomberg,,,,177400,177400,177400,177400,,,0.84, -   , -   ,,OTHER,,,Position 1774,Position 1774,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,506.00,, N.A. ,1,11.9,11.9,12/29/2017,Bloomberg,,,,177500,177500,177500,177500,,,12.08, -   , -   ,,OTHER,,,Position 1775,Position 1775,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"13,002.00",, N.A. ,1,0.9,0.9,12/29/2017,Bloomberg,,,,177600,177600,177600,177600,,,0.9, -   , -   ,,OTHER,,,Position 1776,Position 1776,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,2,, N.A. ,1,"5,790.98","5,790.98",12/29/2017,Bloomberg,,,,177700,177700,177700,177700,,, -   , -   , -   ,,MORGAN STANLEY,,,Position 1777,Position 1777,USD,Indeterminate,Morgan Stanley,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Confirmed By Admin,,Fund 3,12/31/2017,USD       ,"11,177.00",, N.A. ,1,1.39,1.39,12/29/2017,Bloomberg,,,,177800,177800,177800,177800,,,0.86, -   , -   ,,MORGAN STANLEY,,,Position 1778,Position 1778,USD,Indeterminate,Morgan Stanley,,,,43109.33264,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,603.00,, N.A. ,1,14.12,14.12,12/29/2017,Bloomberg,,,,177900,177900,177900,177900,,,10.05, -   , -   ,,OTHER,,,Position 1779,Position 1779,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,224.00,, N.A. ,1,"1,142.39","1,142.39",12/29/2017,Bloomberg,,,,178000,178000,178000,178000,,,381.38, -   , -   ,,OTHER,,,Position 1780,Position 1780,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,2,, N.A. ,1,526.54,526.54,12/29/2017,Bloomberg,,,,178100,178100,178100,178100,,,649.25, -   , -   ,,OTHER,,,Position 1781,Position 1781,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,816.00,, N.A. ,1,14.11,14.11,12/29/2017,Bloomberg,,,,178200,178200,178200,178200,,,5.51, -   , -   ,,OTHER,,,Position 1782,Position 1782,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"2,635.00",, N.A. ,1,0.87,0.87,12/29/2017,Bloomberg,,,,178300,178300,178300,178300,,, -   , -   , -   ,,OTHER,,,Position 1783,Position 1783,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,987.00,, N.A. ,1,4.52,4.52,12/29/2017,Bloomberg,,,,178400,178400,178400,178400,,,37.92, -   , -   ,,OTHER,,,Position 1784,Position 1784,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"1,076.00",, N.A. ,1,9.85,9.85,12/29/2017,Bloomberg,,,,178500,178500,178500,178500,,,16.73, -   , -   ,,OTHER,,,Position 1785,Position 1785,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"1,903.00",, N.A. ,1,0.64,0.64,12/29/2017,Bloomberg,,,,178600,178600,178600,178600,,,0.45, -   , -   ,,OTHER,,,Position 1786,Position 1786,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,0,, N.A. ,1, -   , -   ,12/29/2017,Bloomberg,,,,178700,178700,178700,178700,,,"25,000.00", -   , -   ,,OTHER,,,Position 1787,Position 1787,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"15,480.00",, N.A. ,1,0.95,0.95,12/29/2017,Bloomberg,,,,178800,178800,178800,178800,,,1, -   , -   ,,OTHER,,,Position 1788,Position 1788,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"8,004.00",, N.A. ,1,0.77,0.77,12/29/2017,Bloomberg,,,,178900,178900,178900,178900,,,0.77, -   , -   ,,OTHER,,,Position 1789,Position 1789,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"1,405.00",, N.A. ,1,17.58,17.58,12/29/2017,Bloomberg,,,,179000,179000,179000,179000,,,17.65, -   , -   ,,OTHER,,,Position 1790,Position 1790,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"7,415.00",, N.A. ,1,0.14,0.14,12/29/2017,Bloomberg,,,,179100,179100,179100,179100,,,0.18, -   , -   ,,OTHER,,,Position 1791,Position 1791,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 3,12/31/2017,USD       ,"1,234.00",, N.A. ,1, -   , -   ,12/29/2017,Bloomberg,,,,179200,179200,179200,179200,,, -   , -   , -   ,,OTHER,,,Position 1792,Position 1792,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Confirmed By Admin,,Fund 3,12/31/2017,USD       ,"9,462.00",, N.A. ,1,2.01,2.01,12/29/2017,Bloomberg,,,,179300,179300,179300,179300,,,1.95, -   , -   ,,MORGAN STANLEY,,,Position 1793,Position 1793,USD,Indeterminate,Morgan Stanley,,,,43109.33333,Corporate Equity,Fund,Fund - Private Placement,Level 3
Cash and Other Assets/Liabilities,,Not Confirmed by Admin,Confirmed By Admin,,Fund 4,12/31/2017,USD       ,481.00,, Cash ,1,1,1,12/29/2017,Bloomberg,,,,179400,179400,179400,179400,,,1, -   , -   ,,MORGAN STANLEY,,,Position 1794,Position 1794,USD,Indeterminate,Morgan Stanley,,,,43111.92222,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Not Confirmed by Admin,Confirmed By Admin,,Fund 4,12/31/2017,USD       ,-31.00,, Interest Payable Swaps ,1,1,1,12/29/2017,Bloomberg,,,,179500,179500,179500,179500,,,1, -   , -   ,,CITI,,,Position 1795,Position 1795,USD,Indeterminate,CITI Fixed Income Direct,,,,43111.92222,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Not Confirmed by Admin,Confirmed By Admin,,Fund 4,12/31/2017,USD       ,650.00,, Cash - Pending ,1,1,1,12/29/2017,Bloomberg,,,,179600,179600,179600,179600,,,1, -   , -   ,,GEMINI,,,Position 1796,Position 1796,USD,Indeterminate,GEMINI,,,,43111.92222,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Not Confirmed by Admin,Confirmed By Admin,,Fund 4,12/31/2017,USD       ,-15.00,, Interest Payable Swaps ,1,1,1,12/29/2017,Bloomberg,,,,179700,179700,179700,179700,,,1, -   , -   ,,MORGAN STANLEY,,,Position 1797,Position 1797,USD,Indeterminate,Morgan Stanley,,,,43111.92222,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Not Confirmed by Admin,Confirmed By Admin,,Fund 4,12/31/2017,HKD       ,-3,, Cash ,0.13,0.13,0.13,12/29/2017,Bloomberg,,,,179800,179800,179800,179800,,,0.13, -   , -   ,,MORGAN STANLEY,,,Position 1798,Position 1798,USD,Indeterminate,Morgan Stanley,,,,43111.92222,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Not Confirmed by Admin,Confirmed By Admin,,Fund 4,12/31/2017,USD       ,3,, DividendsReceivable ,1,1,1,12/29/2017,Bloomberg,,,,179900,179900,179900,179900,,,1, -   , -   ,,MORGAN STANLEY,,,Position 1799,Position 1799,USD,Indeterminate,Morgan Stanley,,,,43111.92222,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Not Confirmed by Admin,Confirmed By Admin,,Fund 4,12/31/2017,USD       ,"9,750.00",, Cash ,1,1,1,12/29/2017,Bloomberg,,,,180000,180000,180000,180000,,,1, -   , -   ,,BONY,,,Position 1800,Position 1800,USD,Indeterminate,BONY,,,,43111.92222,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Not Confirmed by Admin,Confirmed By Admin,,Fund 4,12/31/2017,USD       ,"46,240.00",, Cash ,1,1,1,12/29/2017,Bloomberg,,,,180100,180100,180100,180100,,,1, -   , -   ,,MORGAN STANLEY,,,Position 1801,Position 1801,USD,Indeterminate,Morgan Stanley,,,,43111.92222,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Not Confirmed by Admin,Confirmed By Admin,,Fund 4,12/31/2017,USD       ,31.00,, DividendsReceivable ,1,1,1,12/29/2017,Bloomberg,,,,180200,180200,180200,180200,,,1, -   , -   ,,MORGAN STANLEY,,,Position 1802,Position 1802,USD,Indeterminate,Morgan Stanley,,,,43111.92222,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Not Confirmed by Admin,Confirmed By Admin,,Fund 4,12/31/2017,USD       ,0,, Accrued Interest Payable - Broker ,1,1,1,12/29/2017,Bloomberg,,,,180300,180300,180300,180300,,,1, -   , -   ,,MORGAN STANLEY,,,Position 1803,Position 1803,USD,Indeterminate,Morgan Stanley,,,,43111.92222,Currency,Currency,Currency,Cash and Other Assets/Liabilities
